Album Name,Artists,Release Date,Popularity,Image URL
Voyager 3,"Iratus, Tom Dzik",2018-10-01,0,https://i.scdn.co/image/ab67616d0000b2733c3d5ad5b111ef4c338bb8a7
Tâle Yâd,Oneira,2012-02-06,9,https://i.scdn.co/image/ab67616d0000b2734b236bf2d04f8f6adbc25cbe
Omega Madness,Naxatras,2022-01-21,1,https://i.scdn.co/image/ab67616d0000b273f77f54d0ed4d9b913d41eb0c
Agoni Grammi,Mikres Periplaniseis,1994-01-01,0,https://i.scdn.co/image/ab67616d0000b2731522110a2ed84f1498bfd367
Mikres Periplaniseis,Mikres Periplaniseis,1992-04-07,9,https://i.scdn.co/image/ab67616d0000b273131b1e0e8193273a9b071440
New Jack City,"Sonqo Pura, Bipolar Jones",2020-06-12,11,https://i.scdn.co/image/ab67616d0000b27311a657e8a9f6a1b36efb3080
Leoforos Kavalas,"Buzz, Zoro&Buzz",2021-04-02,35,https://i.scdn.co/image/ab67616d0000b2739918a21145fff0ec410c5118
Vios Erotikos,Giannis Parios,1994-01-01,22,https://i.scdn.co/image/ab67616d0000b2734110968e410a9fcb444b9ef0
Jeni Vanou - I Foni / Megales Erminies,Tzeni Vanou,2007-01-01,18,https://i.scdn.co/image/ab67616d0000b273722794dfd4cda0bd610d7b9d
Shadows,"Bonobo, Jordan Rakei",2021-12-01,31,https://i.scdn.co/image/ab67616d0000b2738a89a7c73827e7ff2d2eeee4
Milva: 10 Songs by Mikis Theodorakis (Re-Mastered),"Mikis Theodorakis, Milva",2004-01-12,24,https://i.scdn.co/image/ab67616d0000b27377c46dbccc4c0680cd0271c8
New Skin For The Old Ceremony,Leonard Cohen,1974-08-11,49,https://i.scdn.co/image/ab67616d0000b273ba630a902f9d9de95572f29d
Hoy Como Ayer,Hermanos Gutiérrez,2019-09-27,0,https://i.scdn.co/image/ab67616d0000b273881523f911f1bdbf5f7f8640
Aφτερλωβ,Melentini,2017-05-01,26,https://i.scdn.co/image/ab67616d0000b2737a823eb3cd0ce2e806856e6a
Gia - Collector's Edition,Despina Vandi,2002,0,https://i.scdn.co/image/ab67616d0000b273069db7e118463a465460ce3e
30,Adele,2021-11-19,75,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
Cities II,Thibault Cauvin,2018-09-07,27,https://i.scdn.co/image/ab67616d0000b2734b0212d8d166dc3af2f8ac96
Tis Plakas,Xatzifrageta,2007-01-01,26,https://i.scdn.co/image/ab67616d0000b273eac3f804549c4ac33ba5bf99
Hendrix in Jazz,Various Artists,2017-09-29,25,https://i.scdn.co/image/ab67616d0000b273e75294adaff5d9554831f691
Love & Hate,Michael Kiwanuka,2016-07-15,62,https://i.scdn.co/image/ab67616d0000b2731070095e88dce90a090171b5
Bring Backs,Alfa Mist,2021-04-23,32,https://i.scdn.co/image/ab67616d0000b273e99aaa41c56a25809ea06d77
Antipodes,Giorgis Xylouris,2002-11-20,9,https://i.scdn.co/image/ab67616d0000b2735fc5a0b72ab69f9af268361f
Ni Moya,Ni Moya,2020-06-19,0,https://i.scdn.co/image/ab67616d0000b2731b7c246fcd57d468924f3a55
Nightwalker Vol. 1,Boogie Belgique,2013-06-27,35,https://i.scdn.co/image/ab67616d0000b273a3457c7da6e842dd9e1bcddc
Live Sto Lykavitto,Nikos Papazoglou,1991-01-01,24,https://i.scdn.co/image/ab67616d0000b2738d46498cd7bd8ea5c20352fa
V,Mannarino,2021-09-16,35,https://i.scdn.co/image/ab67616d0000b27382e354ada80f06310b169178
